Time (hr),Year,Month,Day,Hour,Temperature (K),Direct Flux (W/m2),Clear Direct Flux (W/m2),Zenith (deg from up),Azimuth (deg from north cw)
0.0,2019.0,3.0,7.0,0.0,277.9611111111111,0.0,0.0,144.11234626253605,343.8401149407317
1.0,2019.0,3.0,7.0,1.0,277.8722222222222,0.0,0.0,144.75491320904402,9.641357808781379
2.0,2019.0,3.0,7.0,2.0,277.8333333333333,0.0,0.0,140.50184845577587,33.37172657024166
3.0,2019.0,3.0,7.0,3.0,277.8611111111111,0.0,0.0,132.69420553972137,52.01094766478465
4.0,2019.0,3.0,7.0,4.0,277.9,0.0,0.0,122.84538940910753,66.28176027856483
5.0,2019.0,3.0,7.0,5.0,278.1611111111111,0.0,0.0,111.94687691178234,77.8238528134369
6.0,2019.0,3.0,7.0,6.0,278.04999999999995,0.0,0.0,100.58443597283355,87.94821695867425
7.0,2019.0,3.0,7.0,7.0,277.8833333333333,0.0,0.8545229698356553,88.77617238537806,97.61093877880697
8.0,2019.0,3.0,7.0,8.0,277.9722222222222,46.28,570.5515770503276,77.89694276162444,107.60416928794002
9.0,2019.0,3.0,7.0,9.0,278.1222222222222,121.04,797.7917842838928,67.39692360042187,118.72076648549049
10.0,2019.0,3.0,7.0,10.0,278.5,204.7,890.7204138174684,58.04454509097408,131.8467118106413
11.0,2019.0,3.0,7.0,11.0,279.2444444444444,344.43,934.8703559601436,50.63496372838607,147.85235610869293
12.0,2019.0,3.0,7.0,12.0,279.5611111111111,317.73,954.1262319174415,46.20130151847614,166.97622538273828
13.0,2019.0,3.0,7.0,13.0,280.09444444444443,350.66,956.197019120106,45.660585846097426,187.8084571336911
14.0,2019.0,3.0,7.0,14.0,280.39444444444445,376.47,941.8268820191541,49.1450465594646,207.5967697879173
15.0,2019.0,3.0,7.0,15.0,280.6111111111111,359.56,905.5339777279517,55.88057514124781,224.44777721321316
16.0,2019.0,3.0,7.0,16.0,280.4611111111111,250.09,829.556481496687,64.80866701222517,238.25893727153868
17.0,2019.0,3.0,7.0,17.0,280.25,165.54,652.7700291284955,75.06445285919854,249.8238573996428
18.0,2019.0,3.0,7.0,18.0,279.79999999999995,78.32,130.91715241560829,85.97146212986712,260.05019092703964
19.0,2019.0,3.0,7.0,19.0,279.1722222222222,4.45,0.0,97.54730035409942,269.7521943132635
20.0,2019.0,3.0,7.0,20.0,279.26111111111106,0.0,0.0,108.93740018397587,279.71027976573896
21.0,2019.0,3.0,7.0,21.0,278.9111111111111,0.0,0.0,119.96538928027043,290.820022394399
22.0,2019.0,3.0,7.0,22.0,278.5444444444444,0.0,0.0,130.10808752691568,304.2786204148826
23.0,2019.0,3.0,7.0,23.0,278.0722222222222,0.0,0.0,138.49676730279796,321.6536843194697
24.0,2019.0,3.0,8.0,0.0,277.5611111111111,0.0,0.0,143.74440595197825,344.07878562290074
25.0,2019.0,3.0,8.0,1.0,277.09999999999997,0.0,0.0,144.3610949796675,9.656799716996431
