Year,Month,Day,Hour,Temperature  [2 m above gnd],Shortwave Radiation  [sfc]
2019,3,7,0,40.66,0
2019,3,7,1,40.5,0
2019,3,7,2,40.43,0
2019,3,7,3,40.48,0
2019,3,7,4,40.55,0
2019,3,7,5,41.02,0
2019,3,7,6,40.82,0
2019,3,7,7,40.52,0
2019,3,7,8,40.68,46.28
2019,3,7,9,40.95,121.04
2019,3,7,10,41.63,204.7
2019,3,7,11,42.97,344.43
2019,3,7,12,43.54,317.73
2019,3,7,13,44.5,350.66
2019,3,7,14,45.04,376.47
2019,3,7,15,45.43,359.56
2019,3,7,16,45.16,250.09
2019,3,7,17,44.78,165.54
2019,3,7,18,43.97,78.32
2019,3,7,19,42.84,4.45
2019,3,7,20,43,0
2019,3,7,21,42.37,0
2019,3,7,22,41.71,0
2019,3,7,23,40.86,0
2019,3,8,0,39.94,0
2019,3,8,1,39.11,0
2019,3,8,2,38,0
2019,3,8,3,36.86,0
2019,3,8,4,36.09,0
2019,3,8,5,35.78,0
2019,3,8,6,34.87,0
2019,3,8,7,37.24,0
2019,3,8,8,40.77,57.85
2019,3,8,9,43.31,206.48
2019,3,8,10,43.24,276.79
2019,3,8,11,43.09,356.89
2019,3,8,12,42.95,388.04
2019,3,8,13,42.07,370.24
2019,3,8,14,41.45,334.64
2019,3,8,15,40.59,275.9
2019,3,8,16,39.76,208.26
2019,3,8,17,39.4,142.4
2019,3,8,18,38.95,61.41
2019,3,8,19,38.41,4.45
2019,3,8,20,37.57,0
2019,3,8,21,36.2,0
2019,3,8,22,34.52,0
2019,3,8,23,32.65,0
2019,3,9,0,31.46,0
2019,3,9,1,30.92,0
2019,3,9,2,30.69,0
2019,3,9,3,30.26,0
2019,3,9,4,30.2,0
2019,3,9,5,31.52,0
2019,3,9,6,31.64,0
2019,3,9,7,31.68,0.89
2019,3,9,8,32.6,58.74
2019,3,9,9,33.79,152.19
2019,3,9,10,34.36,231.4
2019,3,9,11,34.81,315.06
2019,3,9,12,35.17,380.92
2019,3,9,13,35.68,406.73
2019,3,9,14,36.54,523.32
2019,3,9,15,37.49,428.09
2019,3,9,16,38.23,498.4
2019,3,9,17,38.54,343.54
2019,3,9,18,38.43,163.76
2019,3,9,19,37.37,12.46
2019,3,9,20,36.63,0
2019,3,9,21,35.98,0
2019,3,9,22,35.55,0
2019,3,9,23,36.47,0
2019,3,10,0,37.24,0
2019,3,10,1,37.53,0
2019,3,10,2,37.64,0
2019,3,10,3,37.67,0
2019,3,10,4,37.78,0
2019,3,10,5,36.45,0
2019,3,10,6,36.32,0
2019,3,10,7,35.69,0.89
2019,3,10,8,37.21,73.87
2019,3,10,9,38.68,186.01
2019,3,10,10,40.68,297.26
2019,3,10,11,42.75,386.26
2019,3,10,12,44.53,437.88
2019,3,10,13,46.12,485.94
2019,3,10,14,44.91,460.13
2019,3,10,15,45.97,442.33
2019,3,10,16,45.2,373.8
2019,3,10,17,43.61,252.76
2019,3,10,18,42.73,117.48
2019,3,10,19,41.65,8.9
2019,3,10,20,41.22,0
2019,3,10,21,41.15,0
2019,3,10,22,41.08,0
2019,3,10,23,40.81,0
2019,3,11,0,39.51,0
2019,3,11,1,38.52,0
2019,3,11,2,37.67,0
2019,3,11,3,37.64,0
2019,3,11,4,37.44,0
2019,3,11,5,35.12,0
2019,3,11,6,36.25,0
