Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation (high resolution)  [sfc],Snowfall Amount (high resolution)  [sfc],Total Cloud Cover  [sfc],High Cloud Cover  [high cld lay],Medium Cloud Cover  [mid cld lay],Low Cloud Cover  [low cld lay],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2019,3,23,0,0,5.69,96,1018.8,0.2,0,100,0,2,100,-999,0,2.28,232.13
2019,3,23,1,0,5.47,96,1018.8,0.2,0,100,0,40,100,0,0,2.2,230.53
2019,3,23,2,0,5.31,96,1019,0.3,0,100,0,45,100,0,0,2.2,230.53
2019,3,23,3,0,5.19,96,1019.1,0.2,0.14,100,3,2,100,0,0,2.19,226.85
2019,3,23,4,0,5.1,96,1018.8,0.2,0.14,100,100,29,100,0,0,2.12,225
2019,3,23,5,0,5.03,96,1018.6,0.1,0.07,100,100,100,100,0,0,1.98,220.91
2019,3,23,6,0,4.86,96,1020.2,0,0,100,0,0,100,0,0,1.57,206.57
2019,3,23,7,0,4.8,96,1020,0,0,100,0,0,100,0,0,1.58,198.43
2019,3,23,8,0,4.99,94,1020.3,0,0,100,0,0,100,0,15.13,1.41,188.13
2019,3,23,9,0,6.09,87,1019.8,0,0,100,3,0,100,0,149.52,1.41,188.13
2019,3,23,10,0,7.94,76,1019.1,0,0,100,33,0,100,0,323.96,1.43,192.09
2019,3,23,11,0,8.41,72,1018.3,0,0,27.9,93,6,3,0,381.81,1.62,201.8
2019,3,23,12,0,11.31,58,1016.9,0,0,30,100,22,10,42.19,642.58,1.86,216.25
2019,3,23,13,0,12.3,52,1015.8,0,0,48,100,48,10,40.85,703.1,2.19,226.85
2019,3,23,14,0,12.23,49,1014.6,0,0,100,100,100,10,29.36,716.45,2.5,233.13
2019,3,23,15,0,12.25,46,1013.7,0,0,100,100,100,10,0,678.18,2.64,240.52
2019,3,23,16,0,12.31,45,1013.2,0,0,100,100,100,10,0,479.71,2.86,245.22
2019,3,23,17,0,11.54,49,1013.5,0,0,100,100,100,10,0,277.68,2.92,247.83
2019,3,23,18,0,11.29,51,1013.4,0,0,100,100,100,100,0,174.44,2.56,249.44
2019,3,23,19,0,10.89,55,1013.6,0,0,100,100,100,100,0,141.51,2.31,252.35
2019,3,23,20,0,9.7,75,1013.6,0,0,100,100,100,100,0,22.25,1.75,256.76
2019,3,23,21,0,9.61,79,1014.4,0,0,100,99,100,100,0,0,1.57,243.43
2019,3,23,22,0,9.24,85,1014.5,0,0,100,8,100,100,0,0,1.42,230.71
2019,3,23,23,0,8.88,85,1014.9,0,0,100,2,99,100,0,0,1.39,210.26
2019,3,24,0,0,8.58,77,1015.1,0,0,100,0,100,100,0,0,1.62,201.8
2019,3,24,1,0,7.86,79,1015.4,0,0,100,0,100,100,0,0,1.93,201.25
2019,3,24,2,0,7.05,84,1015.9,0.2,0,100,0,100,100,0,0,2.18,195.95
2019,3,24,3,0,6.39,89,1016.8,0.4,0,100,0,100,100,0,0,2.38,194.62
2019,3,24,4,0,5.84,91,1017,0.4,0,100,0,100,100,0,0,2.53,189.09
2019,3,24,5,0,5.43,93,1017.3,0.4,0,100,0,100,100,0,0,2.63,188.75
2019,3,24,6,0,5.44,98,1016.9,0,0,100,0,25,100,0,0,2.8,180
2019,3,24,7,0,5.38,98,1016.8,0,0,100,0,25,100,0,0,3.11,185.53
2019,3,24,8,0,5.85,95,1017.2,0,0,100,0,22,100,0,16.02,3.54,196.39
2019,3,24,9,0,6.87,85,1017.4,0.1,0,100,0,80,100,0,112.14,3.89,209.2
2019,3,24,10,0,6.93,85,1018.2,0.1,0,100,0,76,100,0,196.69,3.84,218.66
2019,3,24,11,0,7.23,84,1018.5,0.8,0,100,0,85,100,0,291.92,3.91,230.19
2019,3,24,12,0,8.03,75,1018.6,0.7,0,100,0,94,100,0,449.45,3.98,241.5
2019,3,24,13,0,8.18,72,1019.4,0.7,0,96,0,87,96,0,459.24,4.21,252
2019,3,24,14,0,7.98,70,1020.6,0.5,0,93,0,93,93,0,308.83,4.47,259.7
2019,3,24,15,0,7.86,66,1021,0.3,0,62,0,0,62,0.64,311.5,4.51,266.19
2019,3,24,16,0,8.57,57,1020.9,0,0,10,0,0,10,20.43,489.5,4.4,270
2019,3,24,17,0,8.69,53,1021.3,0,0,10,0,0,10,53.62,545.57,4.2,271.36
2019,3,24,18,0,8.52,54,1021.5,0,0,10,0,0,10,53.62,390.71,4.01,274.29
2019,3,24,19,0,7.73,68,1021.9,0,0,0,0,0,0,53.62,208.26,3.67,281
2019,3,24,20,0,6.38,71,1023.2,0,0,0,0,0,0,44.42,34.71,1.79,296.57
2019,3,24,21,0,6.04,72,1024.7,0,0,0,0,0,0,0,0,0.36,326.31
2019,3,24,22,0,5.7,74,1025.8,0,0,10,0,0,10,0,0,0.22,116.57
2019,3,24,23,0,5.42,74,1026.7,0,0,0,0,0,0,0,0,0.64,141.34
2019,3,25,0,0,5.21,75,1026.9,0,0,0,0,0,0,0,0,0.94,147.99
2019,3,25,1,0,5.05,75,1027,0,0,0,0,0,0,0,0,1.22,145.01
